epoch,binary_accuracy,learning_rate,loss,precision_1,recall_1,val_binary_accuracy,val_loss,val_precision_1,val_recall_1
60,0.9998866319656372,9.999999747378752e-05,0.00027855622465722263,0.9962437152862549,0.9944747686386108,0.999916136264801,0.00020252134709153324,0.9954471588134766,0.9960034489631653
61,0.9998850226402283,9.999999747378752e-05,0.00027932689408771694,0.9961705803871155,0.9942930936813354,0.9999252557754517,0.0001794795971363783,0.9966182708740234,0.9954409003257751
62,0.999890923500061,9.999999747378752e-05,0.0002624993503559381,0.9964312314987183,0.9946189522743225,0.9998968839645386,0.00024713363382034004,0.9952395558357239,0.9956539869308472
63,0.9999178647994995,4.999999873689376e-05,0.0001983616384677589,0.9973350763320923,0.9958657622337341,0.9999209642410278,0.00019190655439160764,0.9963086843490601,0.9967368245124817
64,0.9999207258224487,4.999999873689376e-05,0.00019134320609737188,0.9973832368850708,0.9959976673126221,0.9999273419380188,0.00017753522843122482,0.9960047602653503,0.9970255494117737
65,0.9999310970306396,2.499999936844688e-05,0.00016651905025355518,0.997766375541687,0.9965344071388245,0.9999427199363708,0.00013897671306040138,0.9969390630722046,0.9973640441894531
66,0.9999350905418396,2.499999936844688e-05,0.00015750728198327124,0.9978594183921814,0.9966834783554077,0.9999209642410278,0.00019938543846365064,0.9952951669692993,0.9976115822792053
67,0.9999399185180664,1.249999968422344e-05,0.00014712396659888327,0.9979867935180664,0.9968981742858887,0.9999322295188904,0.00017403873789589852,0.9965651631355286,0.9969690442085266
68,0.9999393820762634,1.249999968422344e-05,0.00014773194561712444,0.9979888796806335,0.9968962073326111,0.9999455809593201,0.00013316520198713988,0.997590184211731,0.997317910194397
69,0.9999416470527649,6.24999984211172e-06,0.00014332644059322774,0.9981009364128113,0.9970479011535645,0.9999527335166931,0.00011818212806247175,0.9981123805046082,0.9972895383834839
70,0.9999417066574097,6.24999984211172e-06,0.0001425115333404392,0.9981156587600708,0.9970973134040833,0.9999412894248962,0.0001534874754725024,0.9968611001968384,0.9975564479827881
71,0.9999418258666992,3.12499992105586e-06,0.00014025731070432812,0.9981390833854675,0.997124195098877,0.9999516606330872,0.0001182868581963703,0.9979103803634644,0.9976513981819153
72,0.9999428987503052,3.12499992105586e-06,0.00013827499060425907,0.9981444478034973,0.997146487236023,0.9999532103538513,0.00011491894110804424,0.9980560541152954,0.9974170923233032
73,0.9999449849128723,1.56249996052793e-06,0.00013480188499670476,0.9981818795204163,0.9971858859062195,0.999941885471344,0.00014927543816156685,0.9967728853225708,0.9975470900535583
74,0.9999433159828186,1.56249996052793e-06,0.00013666265294887125,0.9981821179389954,0.9971745610237122,0.9999372959136963,0.00016087008407339454,0.9970170855522156,0.9975365996360779
75,0.9999433159828186,7.81249980263965e-07,0.00013692585343960673,0.9981681108474731,0.9971833825111389,0.9999493956565857,0.00012865396274719387,0.9974716305732727,0.9975602626800537
76,0.9999440908432007,7.81249980263965e-07,0.00013565337576437742,0.9982076287269592,0.9972177147865295,0.9999454021453857,0.00013928177941124886,0.9972008466720581,0.9975547194480896
77,0.999945878982544,3.906249901319825e-07,0.0001321586751146242,0.9981793761253357,0.9972240328788757,0.9999470710754395,0.0001358117733616382,0.9975059628486633,0.997503399848938
78,0.999902069568634,9.999999747378752e-05,0.00024524578475393355,0.9966661334037781,0.995223879814148,0.9998874068260193,0.0002789060235954821,0.993592381477356,0.9955084919929504
79,0.9999079704284668,9.999999747378752e-05,0.00022613802866544574,0.9969490170478821,0.9954069256782532,0.9999394416809082,0.00014382015797309577,0.9975476861000061,0.9965000152587891
80,0.9998980164527893,9.999999747378752e-05,0.0002528302138671279,0.9966264367103577,0.9949536323547363,0.9998878836631775,0.00028096538153477013,0.9917459487915039,0.9975392818450928
81,0.9999167919158936,9.999999747378752e-05,0.00019949307898059487,0.9972366094589233,0.9959047436714172,0.9999430775642395,0.0001324147015111521,0.9973044395446777,0.9962629079818726
82,0.9999389052391052,4.999999873689376e-05,0.00014830788131803274,0.998002290725708,0.9969248175621033,0.9999344348907471,0.00016533983580302447,0.9968222975730896,0.997254490852356
83,0.9999393820762634,4.999999873689376e-05,0.0001469212002120912,0.9979671835899353,0.9969258904457092,0.9999399781227112,0.00014534963702317327,0.9981194138526917,0.9961869716644287
84,0.9999467134475708,2.499999936844688e-05,0.000130390704725869,0.9982558488845825,0.9972833395004272,0.9999433159828186,0.0001442229695385322,0.9975911974906921,0.9977092146873474
85,0.9999495148658752,2.499999936844688e-05,0.0001240855926880613,0.9983381032943726,0.9974647760391235,0.9999602437019348,9.845271415542811e-05,0.9982907176017761,0.9975281357765198
86,0.9999544620513916,1.249999968422344e-05,0.00011345093662384897,0.998458206653595,0.9976227879524231,0.9999530911445618,0.00012106505164410919,0.9975255131721497,0.9979113340377808
87,0.999954879283905,1.249999968422344e-05,0.00011345576785970479,0.9984931349754333,0.9976857900619507,0.9999523162841797,0.00012527529906947166,0.9975306391716003,0.9979962110519409
88,0.9999547600746155,6.24999984211172e-06,0.00011108379112556577,0.9985306262969971,0.9977339506149292,0.9999607801437378,9.912204404827207e-05,0.9982581734657288,0.9980469942092896
89,0.9999566674232483,6.24999984211172e-06,0.00010741082951426506,0.9985626935958862,0.9977601766586304,0.99995356798172,0.00012230104766786098,0.9977921843528748,0.9980984926223755
90,0.9999569058418274,3.12499992105586e-06,0.00010628347081365064,0.998585045337677,0.997819185256958,0.9999586343765259,0.00010424406355014071,0.9983063340187073,0.998210072517395
91,0.9999188780784607,9.999999747378752e-05,0.0002034512726822868,0.9972155094146729,0.99601149559021,0.9999449253082275,0.00013559831131715328,0.9969351887702942,0.9974876642227173
92,0.9999334216117859,9.999999747378752e-05,0.0001644203730393201,0.9977561235427856,0.9966705441474915,0.9999595284461975,9.98879040707834e-05,0.9978845119476318,0.9975041151046753
93,0.9999184012413025,9.999999747378752e-05,0.00020519453391898423,0.9971698522567749,0.9960546493530273,0.9999406933784485,0.00014094795915298164,0.9981903433799744,0.9960135817527771
94,0.9999500513076782,4.999999873689376e-05,0.0001245068124262616,0.9983663558959961,0.9974517822265625,0.9999530911445618,0.00011462312249932438,0.9973981976509094,0.9981579184532166
95,0.9999507665634155,4.999999873689376e-05,0.00012262948439456522,0.9983351230621338,0.9974896311759949,0.9999580383300781,0.00010274795931763947,0.9980328679084778,0.9981602430343628
96,0.9999593496322632,2.499999936844688e-05,0.00010285867028869689,0.9986346364021301,0.9978618621826172,0.9999637603759766,8.992833318188787e-05,0.9983013272285461,0.9980663657188416
97,0.9999595880508423,2.499999936844688e-05,0.00010125969129148871,0.9986429214477539,0.9979233145713806,0.9999628067016602,9.090798994293436e-05,0.9982166886329651,0.998228907585144
98,0.9999626278877258,1.249999968422344e-05,9.365608275402337e-05,0.9987601637840271,0.9980760216712952,0.9999719262123108,6.833396037109196e-05,0.9986365437507629,0.998519241809845
99,0.9999627470970154,1.249999968422344e-05,9.25115164136514e-05,0.998772144317627,0.9981083869934082,0.9999696016311646,7.639318937435746e-05,0.9986814856529236,0.9983259439468384
100,0.9999642968177795,6.24999984211172e-06,9.088592923944816e-05,0.9988000988960266,0.9981273412704468,0.9999585747718811,0.0001097730128094554,0.9979534149169922,0.9983949065208435
101,0.9999650716781616,6.24999984211172e-06,8.872056059772149e-05,0.9988124966621399,0.9981731176376343,0.9999624490737915,9.587025124346837e-05,0.9982110857963562,0.998331606388092
102,0.9999661445617676,3.12499992105586e-06,8.666871872264892e-05,0.9988474249839783,0.9982141256332397,0.9999743700027466,6.407659384422004e-05,0.9987834692001343,0.9983704090118408
103,0.9999661445617676,3.12499992105586e-06,8.694705320522189e-05,0.9988571405410767,0.9982137084007263,0.9999659061431885,8.511384658049792e-05,0.9984743595123291,0.9984542727470398
104,0.9999662041664124,1.56249996052793e-06,8.599548891652375e-05,0.9988659024238586,0.9982494115829468,0.9999527335166931,0.00012485124170780182,0.9975857734680176,0.9985279440879822
105,0.9999662041664124,1.56249996052793e-06,8.535624510841444e-05,0.9988685250282288,0.9982430338859558,0.9999651908874512,8.737460302654654e-05,0.998418927192688,0.9984696507453918
106,0.9999670386314392,7.81249980263965e-07,8.343700028490275e-05,0.9988856911659241,0.9982452392578125,0.9999683499336243,7.893802830949426e-05,0.998805046081543,0.998432457447052
107,0.999967098236084,7.81249980263965e-07,8.392793097300455e-05,0.9988868832588196,0.9982808828353882,0.9999752044677734,5.993628656142391e-05,0.9989816546440125,0.9983735680580139
108,0.9999663233757019,3.906249901319825e-07,8.418614015681669e-05,0.9988794922828674,0.9982707500457764,0.9999691247940063,7.803907647030428e-05,0.9983815550804138,0.9984287023544312
109,0.999967098236084,3.906249901319825e-07,8.405618427786976e-05,0.9988813400268555,0.99827641248703,0.9999653100967407,8.902801346266642e-05,0.9982660412788391,0.9984465837478638
110,0.9999661445617676,1.9531249506599124e-07,8.405461994698271e-05,0.9988882541656494,0.9982743859291077,0.9999681115150452,7.883333455538377e-05,0.9984738230705261,0.9985045194625854
111,0.9999672770500183,1.9531249506599124e-07,8.485969010507688e-05,0.9988798499107361,0.9982677102088928,0.99996417760849,9.047234198078513e-05,0.9981571435928345,0.9985408186912537
112,0.9999663233757019,1.0000000116860974e-07,8.522575080860406e-05,0.998886227607727,0.9982715845108032,0.999965250492096,8.912195335142314e-05,0.9983280897140503,0.9984719753265381
