epoch,binary_accuracy,learning_rate,loss,precision_1,recall_1,val_binary_accuracy,val_loss,val_precision_1,val_recall_1
51,0.9998390674591064,9.999999747378752e-05,0.000398651318391785,0.9944607615470886,0.9922794103622437,0.9998621344566345,0.0003398521221242845,0.9968911409378052,0.9876103401184082
52,0.9998639225959778,9.999999747378752e-05,0.00032936461502686143,0.9955061674118042,0.9933120012283325,0.999833345413208,0.00040677847573533654,0.9932180643081665,0.9933478832244873
53,0.9998602867126465,9.999999747378752e-05,0.0003385046438779682,0.9953131079673767,0.993176281452179,0.9998910427093506,0.00026177216204814613,0.9953324794769287,0.9943429231643677
54,0.999894917011261,4.999999873689376e-05,0.0002508358156774193,0.9966061115264893,0.9946977496147156,0.9998830556869507,0.00029530588653869927,0.9937731623649597,0.9955592155456543
55,0.9998993873596191,4.999999873689376e-05,0.0002394742623437196,0.996735155582428,0.9949285984039307,0.9999158382415771,0.00020869882428087294,0.9960854053497314,0.9952098727226257
56,0.9998984932899475,4.999999873689376e-05,0.00024247441615443677,0.9966737627983093,0.9948982000350952,0.9999248385429382,0.00018258676573168486,0.9969723224639893,0.9947351217269897
57,0.999899685382843,4.999999873689376e-05,0.00023894289915915579,0.9967047572135925,0.994994580745697,0.9998979568481445,0.00026476840139366686,0.996859073638916,0.9935287833213806
58,0.999911904335022,2.499999936844688e-05,0.0002094494557240978,0.9971908926963806,0.9956156611442566,0.999898374080658,0.000266381714027375,0.9952989816665649,0.9951055645942688
59,0.999914288520813,2.499999936844688e-05,0.00020664044131990522,0.997237503528595,0.995750367641449,0.9999127984046936,0.00023076513025444,0.9950636625289917,0.9963095784187317
60,0.9999197125434875,1.249999968422344e-05,0.00019323996093589813,0.9973732829093933,0.9959222078323364,0.9999117255210876,0.00023828513803891838,0.9956030249595642,0.9957150220870972
61,0.9999205470085144,1.249999968422344e-05,0.00018961518071591854,0.9974324107170105,0.9960325360298157,0.9999054074287415,0.0002562681620474905,0.9956194758415222,0.996065080165863
62,0.999893069267273,9.999999747378752e-05,0.0002623781329020858,0.9963806867599487,0.994718074798584,0.9998968839645386,0.0002715112641453743,0.9952170848846436,0.9946846961975098
63,0.9998942017555237,9.999999747378752e-05,0.00025762669974938035,0.9964739084243774,0.9947214126586914,0.9998931288719177,0.00025924871442839503,0.995152473449707,0.995421826839447
64,0.9998928308486938,9.999999747378752e-05,0.00025822798488661647,0.9963884353637695,0.9946984648704529,0.9999107718467712,0.00021468756312970072,0.996539831161499,0.9944968819618225
65,0.9999227523803711,4.999999873689376e-05,0.0001859058247646317,0.9974877238273621,0.9960547089576721,0.9999350905418396,0.0001673544174991548,0.9960604906082153,0.9965276718139648
66,0.9999192953109741,4.999999873689376e-05,0.00019400831661187112,0.99736088514328,0.9959595203399658,0.9999119639396667,0.00023692281683906913,0.9942018389701843,0.9967867732048035
67,0.99992436170578,4.999999873689376e-05,0.00018273234309162945,0.9974771738052368,0.9961627721786499,0.9999061226844788,0.0002485937438905239,0.9951330423355103,0.9964794516563416
